Datetime,TASK,TIME_LIMIT,ETA,STATUS
2021-11-10 22:48:15,thing test,1,22:47:53,COMPLEATE
2021-11-10 23:40:40,make a shell script for schedule ap,8,22:58:32,COMPLEATE
2021-11-10 23:40:40,move tv,8,23:06:55,COMPLEATE
2021-11-10 23:40:40,set up tv,8,23:15:00,COMPLEATE
2021-11-10 23:40:40,eat food message mack,24,23:39:15,COMPLEATE
2021-11-12 23:59:02,write li,6,,COMPLEATE
2021-11-12 23:59:02,clean,6,,COMPLEATE
2021-11-12 23:59:02,nina,6,,COMPLEATE
2021-11-12 23:59:02,lift,6,,COMPLEATE
2021-11-12 23:59:02,shake,6,,COMPLEATE
2021-11-12 23:59:02,music,6,,COMPLEATE
2021-11-12 23:59:02,byt,6,,COMPLEATE
2021-11-13 00:36:10,write li,6,,COMPLEATE
2021-11-13 00:36:10,clean,6,,COMPLEATE
2021-11-13 00:36:10,nina,6,,COMPLEATE
2021-11-13 00:36:10,lift,6,,COMPLEATE
2021-11-13 00:36:10,shake,6,,COMPLEATE
2021-11-13 00:36:10,music,6,,COMPLEATE
2021-11-13 00:36:10,byt,6,,COMPLEATE
2021-11-13 00:49:15,write li,6,,COMPLEATE
2021-11-13 00:49:15,clean,6,,COMPLEATE
2021-11-13 00:49:15,nina,6,,COMPLEATE
2021-11-13 00:49:15,lift,6,,COMPLEATE
2021-11-13 00:49:15,shake,6,,COMPLEATE
2021-11-13 00:49:15,music,6,,COMPLEATE
2021-11-13 00:49:15,byt,6,,COMPLEATE
2021-11-13 00:50:37,write li,6,,COMPLEATE
2021-11-13 00:50:37,clean,6,,COMPLEATE
2021-11-13 00:50:37,nina,6,,COMPLEATE
2021-11-13 00:50:37,lift,6,,COMPLEATE
2021-11-13 00:50:37,shake,6,,COMPLEATE
2021-11-13 00:50:37,music,6,,COMPLEATE
2021-11-13 00:50:37,byt,6,,COMPLEATE
2021-11-13 00:51:37,write li,6,,COMPLEATE
2021-11-13 00:51:37,clean,6,,COMPLEATE
2021-11-13 00:51:37,nina,6,,COMPLEATE
2021-11-13 00:51:37,lift,6,,COMPLEATE
2021-11-13 00:51:37,shake,6,,COMPLEATE
2021-11-13 00:51:37,music,6,,COMPLEATE
2021-11-13 00:51:37,byt,6,,COMPLEATE
2021-11-13 00:53:59,write li,6,,COMPLEATE
2021-11-13 00:53:59,clean,6,,COMPLEATE
2021-11-13 00:53:59,nina,6,,COMPLEATE
2021-11-13 00:53:59,lift,6,,COMPLEATE
2021-11-13 00:53:59,shake,6,,COMPLEATE
2021-11-13 00:53:59,music,6,,COMPLEATE
2021-11-13 00:53:59,byt,6,,COMPLEATE
2021-11-13 00:55:58,write li,6,,COMPLEATE
2021-11-13 00:55:58,clean,6,,COMPLEATE
2021-11-13 00:55:58,nina,6,,COMPLEATE
2021-11-13 00:55:58,lift,6,,COMPLEATE
2021-11-13 00:55:58,shake,6,,COMPLEATE
2021-11-13 00:55:58,music,6,,COMPLEATE
2021-11-13 00:55:58,byt,6,,COMPLEATE
2021-11-13 00:59:22,write li,6,,COMPLEATE
2021-11-13 00:59:22,clean,6,,COMPLEATE
2021-11-13 00:59:22,nina,6,,COMPLEATE
2021-11-13 00:59:22,lift,6,,COMPLEATE
2021-11-13 00:59:22,shake,6,,COMPLEATE
2021-11-13 00:59:22,music,6,,COMPLEATE
2021-11-13 00:59:22,byt,6,,COMPLEATE
2021-11-13 01:04:49,write li,6,,COMPLEATE
2021-11-13 01:04:49,clean,6,,COMPLEATE
2021-11-13 01:04:49,nina,6,,COMPLEATE
2021-11-13 01:04:49,lift,6,,COMPLEATE
2021-11-13 01:04:49,shake,6,,COMPLEATE
2021-11-13 01:04:49,music,6,,COMPLEATE
2021-11-13 01:04:49,byt,6,,COMPLEATE
2021-11-13 01:06:49,write li,6,,COMPLEATE
2021-11-13 01:06:49,clean,6,,COMPLEATE
2021-11-13 01:06:49,nina,6,,COMPLEATE
2021-11-13 01:06:49,lift,6,,COMPLEATE
2021-11-13 01:06:49,shake,6,,COMPLEATE
2021-11-13 01:06:49,music,6,,COMPLEATE
2021-11-13 01:06:49,byt,6,,COMPLEATE
2021-11-13 04:16:10,write li,6,,COMPLEATE
2021-11-13 04:16:10,clean,6,,COMPLEATE
2021-11-13 04:16:10,nina,6,,COMPLEATE
2021-11-13 04:16:10,lift,6,,COMPLEATE
2021-11-13 04:16:10,shake,6,,COMPLEATE
2021-11-13 04:16:10,music,6,,COMPLEATE
2021-11-13 04:16:10,byt,6,,COMPLEATE
